,country_code,country_name,1-Jan-00,2-Jan-20,3-Jan-20,4-Jan-20,5-Jan-20,6-Jan-20
1,ABW,Aruba,0,0,0,0,0,0
2,AFG,Afghanistan,0,0,0,0,0,0
3,AGO,Angola,0,0,0,0,0,0
4,ALB,Albania,0,0,0,0,0,0
